一,いち,One,1
人,ひと,Man,2
十,じゅう,Ten,3
二,に,Two,4
九,きゅう,Nine,5
入,はい。る,Enter,6
八,はち,Eight,7
七,しち,Seven,8
大,ダイ,Big,9
ミ,み,Three,10
上,うえ,Above,11
子,こ,Child,12
下,した,Un-,13
小,ちい。さい,Small,14
山,やま,Mountain,15
女,おんな,Woman,16
川,かわ,River,17
千,せん,Thousand,18
口,くち,Mouth,19
土,つち,Earth,20
万,まん,Ten thousand,21
日,ひ,Day,22
中,なか,Within,23
月,げつ,Moon,24
分,ふん,Minute,25
五,ご,Five,26
今,コン,Now,27
手,て,Hand,28
円,えん,Yen,29
六,た。つ,Six,30
午,ご,Noon,31
水,みず,Water,32
少,すく,Few,33
木,き,Tree,34
天,てん,Heaven,35
火,ひ,Fire,36
友,とも,Friend,37
父,ちち,Father,38
本,ほん,Book,39
出,で。る,To Go Out,40
生,う。まめる,To Be Born,41
四,よん,Four,42
立,た。つ,To Stand,43
目,め,Eye,44
外,ガイ,Outside,45
北,きた,North,46
白,しろ,White,47
古,ふる。い,Old,48
半,はん,Half,49
母,はは,Mother,50
右,みぎ,Right,51
左,ひだり,Left,52
会,あ。う,To Meet,53
年,ねん,Year,54
行,い。く,To Go,55
気,き,Spirit,56
多,おお。い,Many,57
安,やす。い,Cheap,58
百,ひゃく,Hundred,59
先,さき,Previous,60
名,な,Name,61
西,にし,West,62
毎,マイ,Every,63
休,やす。み,To Relax,64
耳,みみ,Ear,65
社,しゃ,Company,66
言,い。う,To Say,67
来,く。る,To Come,68
男,おとこ,Man,69
車,くるま,Car,70
何,なに,What,71
足,あし,Leg,72
花,はな,Flower,73
国,コク,Nation,74
長,なが。い,Long,75
東,ひがし,East,76
金,キン,Gold,77
学,ガク,School,78
空,そら,Sky,79
店,みせ,Shop,80
雨,あめ,Rain,81
後,あと,After,82
前,まえ,In Front,83
食,た。べる,To Eat,84
南,みなみ,South,85
時,とき,Time,86
高,たか。い,High,87
書,か。く,To Write,88
校,コウ,School,89
週,しゅう,Week,90
魚,さかな,Fish,91
間,あいだ,Between,92
道,みち,Path,93
買,か。う,To Buy,94
飲,の。む,To Drink,95
新,あたら。しい,New,96
話,はな。す,To Speak,97
電,デン,Electricity,98
語,ゴ,Language,99
聞,き。く,To Ask,100
読,よ。む,To Read,101
駅,えき,Station,102
不,フ(不便),Un,103
世,セ(世界),World,104
主,ぬし,Lord,105
乗,の。る,To Embark,106
事,こと,Matter,107
京,(東京)キョウ,Capital,108
仕,つか。える,To Serve,109
代,(時代)ダイ,Generation,110
以,イ(以外),By Means Of,111
低,ひく。い,Low,112
住,す。む,To Dwell,113
体,からだ,Body,114
作,つく。る,To Make,115
使,つか。う,To Use,116
便,ベン(便利),Convenient,117
借,か。りる,To Borrow,118
働,はたら。く,To Work,119
元,ゲン(元気),Beginning,120
兄,あに,Big Brother,121
光,ひかり,Light,122
写,シャ(写真),Copy,123
冬,ふゆ,Winter,124
切,き。る,To Cut,125
別,べつ,Separate,126
力,ちから,Power,127
勉,ベン(勉強),Exertion,128
